IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
112897;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;0417B1018;Platane;Platanus;x hispanica;;390;26;Mature;OUI;48.8241339365634, 2.3379656973736767
136448;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00030003;Catalpa;Catalpa;speciosa;''Pulverulenta'';200;3;Mature;OUI;48.847581850028334, 2.2532779035516213
302598;Arbre;Jardin;PARIS 8E ARRDT;Secteur Grand Palais;JARDINS DES CHAMPS ELYSEES - ABORDS OUEST DU GRAND PALAIS / 7 AVENUE WINSTON CHURCHILL;000109003;Platane;Platanus;x hispanica;;555;30;Mature;OUI;48.86524780196837, 2.313351752392508
104841;Arbre;Jardin;PARIS 13E ARRDT;Roseraie;SQUARE RENE LE GALL / 1 RUE EMILE DESLANDRES;000301003;Marronnier;Aesculus;hippocastanum;;369;17;Mature;OUI;48.83303012172054, 2.350696508611639
2002361;Arbre;Jardin;BOIS DE VINCENNES;12-09;ILE DE BERCY / LAC DAUMESNIL;A0280104001;Tulipier;Liriodendron;tulipifera;;225;21;Adulte;OUI;48.83198940054431, 2.411992434349407
2002365;Arbre;Jardin;BOIS DE VINCENNES;12-07;ILE DE BERCY / LAC DAUMESNIL;A0280106007;Platane;Platanus;x hispanica;;430;40;Mature;OUI;48.83213592992359, 2.4107051127315766
113571;Arbre;Jardin;PARIS 16E ARRDT;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00060050;Pistachier;Pistacia;terebinthus;;176;12;Adulte;OUI;48.84590426297835, 2.2530267640826374
109021;Arbre;Jardin;PARIS 7E ARRDT;07-13;SQUARE D AJACCIO / 127 RUE DE GRENELLE;000201006;Platane;Platanus;x hispanica;;490;25;Mature;OUI;48.85777577334161, 2.314530473104158
2045847;Arbre;Jardin;BOIS DE BOULOGNE;;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;000101003;Cyprès Chauve;Taxodium;distichum;;282;35;;OUI;48.86020278191938, 2.25950950296499
116216;Arbre;Jardin;PARIS 14E ARRDT;;SQUARE DE L ASPIRANT DUNAND / 20 RUE SAILLARD;000212001;Cèdre;Cedrus;atlantica;;172;20;Adulte;OUI;48.83196735549031, 2.3258168124220817
2002387;Arbre;Jardin;BOIS DE BOULOGNE;16-12;ROUTE DE LA PORTE SAINT-JAMES;001001001;Sequoia;Sequoiadendron;giganteum;;355;29;Mature;OUI;48.87647407978168, 2.257499755067795
307478;Arbre;Jardin;PARIS 8E ARRDT;Secteur Marigny;JARDINS DES CHAMPS ELYSEES - SQUARE MARIGNY / 41 AVENUE GABRIEL;000103002;Libocèdre;Calocedrus;decurrens;;210;22;Mature;OUI;48.868572877785134, 2.313325589799442
112222;Arbre;Jardin;PARIS 15E ARRDT;15-05;SQUARE SAINT LAMBERT / 2 RUE JEAN FORMIGE;000303005;Micocoulier;Celtis;koraiensis;;290;18;Adulte;OUI;48.8426413166632, 2.2960911081158444
158609;Arbre;CIMETIERE;PARIS 20E ARRDT;20-17;CIMETIERE DU PERE LACHAISE / DIV 77;D00000077024;Chicot du Canada;Gymnocladus;dioica;''Variegata'';155;11;Adulte;OUI;48.86151633861927, 2.399065981839136
102837;Arbre;Jardin;PARIS 19E ARRDT;19-04 parcelle K66;PARC DES BUTTES CHAUMONT / 7 RUE BOTZARIS;K06601001;Sequoia;Sequoiadendron;giganteum;;553;33;Mature;OUI;48.87975204703091, 2.3806624628839765
2002364;Arbre;Jardin;BOIS DE VINCENNES;12-11;ILE DE BERCY / LAC DAUMESNIL;A0280106002;Platane;Platanus;x hispanica;;410;35;Mature;OUI;48.83234118323966, 2.4114357311784183
